question_code,material_code
PGA-LAB02-Q01,PGA-PPT-W02-01
PGA-WEB-Q01,PGA-PPT-W02-01
PGA-TUT01-Q01,PGA-PPT-W02-02
PGA-TUT01-Q01,PGA-PPT-W02-01
PGA-TUT01-Q02,PGA-PPT-W02-02
PGA-TUT01-Q02,PGA-PPT-W02-01
PGA-TUT02-Q01,PGA-TUT-W03-01
PGA-TUT02-Q01,PGA-PPT-W03-02
PGA-TUT02-Q02,PGA-TUT-W03-01
PGA-TUT02-Q03,PGA-PPT-W02-03
PGA-TUT02-Q03,PGA-PPT-W03-03
PGA-TUT02-Q04,PGA-PPT-W02-01
PGA-TUT02-Q04,PGA-PPT-W02-03
PGA-TUT02-Q04,PGA-TUT-W03-01
PGA-TUT03-Q01,PGA-TUT-W04-01
PGA-TUT03-Q01,PGA-PPT-W04-01
PGA-TUT03-Q02,PGA-PPT-W03-01
PGA-TUT03-Q02,PGA-PPT-W04-01
PGA-TUT03-Q02,PGA-TUT-W04-01
PGA-TUT04-Q01,PGA-PPT-W05-01
PGA-TUT04-Q01,PGA-TUT-W09-01
PGA-TUT04-Q02,PGA-PPT-W03-03
PGA-TUT04-Q02,PGA-PPT-W03-01
PGA-TUT04-Q02,PGA-PPT-W05-01
PGA-TUT05-Q01,PGA-TUT-W06-01
PGA-TUT05-Q01,PGA-PPT-W03-03
PGA-TUT05-Q01,PGA-PPT-W02-03
PGA-TUT06-Q01,PGA-PPT-W06-02
PGA-TUT06-Q01,PGA-PPT-W04-01
PGA-TUT06-Q01,PGA-PPT-W03-03
PGA-TUT07-Q01,PGA-PPT-W08-01
PGA-TUT07-Q01,PGA-TUT-W08-01
PGA-TUT07-Q01,PGA-PPT-W06-02
PGA-TUT08-Q01,PGA-PPT-W09-01
PGA-TUT09-Q01,PGA-TUT-W10-01
PGA-TUT09-Q02,PGA-TUT-W10-01
PGA-TUT09-Q03,PGA-PPT-W10-02
PGA-TUT09-Q03,PGA-TUT-W10-01
