"question_code	",material_code
"PGA-LAB02-Q01	",PGA-PPT-W02-01
"PGA-WEB-Q01	",PGA-PPT-W02-01
"PGA-WEB-Q02	",PGA-PPT-W11-02
PGA-WEB-Q03,PGA-PPT-W03-03
"PGA-WEB-Q04	",PGA-PPT-W06-01
PGA-WEB-Q04,PGA-TUT-W06-01
PGA-WEB-Q05,PGA-PPT-W02-01
"PGA-WEB-Q05	",PGA-TUT-W03-01
"PGA-WEB-Q06	",PGA-PPT-W02-01
"PGA-WEB-Q06	",PGA-TUT-W03-01
PGA-WEB-Q07,PGA-PPT-W09-01
"PGA-WEB-Q08	",PGA-PPT-W02-02
"PGA-WEB-Q08	",PGA-TUT-W02-01
"PGA-WEB-Q09	",PGA-PPT-W02-01
"PGA-WEB-Q09	",PGA-TUT-W02-01
"PGA-WEB-Q10	",PGA-PPT-W02-01
"PGA-WEB-Q10	",PGA-TUT-W02-01
"PGA-WEB-Q11	",PGA-PPT-W02-01
"PGA-WEB-Q11	",PGA-TUT-W03-01
"PGA-WEB-Q12	",PGA-PPT-W02-01
"PGA-WEB-Q12	",PGA-TUT-W03-01
"PGA-WEB-Q13	",PGA-PPT-W02-01
"PGA-WEB-Q13	",PGA-TUT-W03-01
"PGA-WEB-Q14	",PGA-PPT-W02-01
"PGA-WEB-Q14	",PGA-TUT-W03-01
"PGA-WEB-Q15	",PGA-PPT-W02-03
"PGA-WEB-Q15	",PGA-TUT-W03-01
"PGA-WEB-Q16	",PGA-PPT-W02-03
"PGA-WEB-Q16	",PGA-TUT-W03-01
"PGA-WEB-Q17	",PGA-PPT-W02-03
"PGA-WEB-Q17	",PGA-TUT-W03-01
"PGA-WEB-Q18	",PGA-PPT-W02-03
"PGA-WEB-Q18	",PGA-TUT-W03-01
"PGA-WEB-Q19	",PGA-PPT-W03-01
"PGA-WEB-Q19	",PGA-TUT-W09-01
"PGA-WEB-Q20	",PGA-PPT-W03-01
"PGA-WEB-Q20	",PGA-TUT-W09-01
"PGA-WEB-Q21	",PGA-PPT-W07-01
"PGA-WEB-Q22	",PGA-PPT-W07-01
"PGA-WEB-Q23	",PGA-PPT-W04-01
"PGA-WEB-Q23	",PGA-TUT-W09-01
"PGA-WEB-Q24	",PGA-PPT-W04-01
"PGA-WEB-Q24	",PGA-TUT-W09-01
"PGA-WEB-Q25	",PGA-PPT-W08-01
"PGA-WEB-Q25	",PGA-TUT-W08-01
"PGA-WEB-Q26	",PGA-PPT-W08-01
"PGA-WEB-Q26	",PGA-TUT-W08-01
"PGA-WEB-Q27	",PGA-PPT-W10-01
"PGA-WEB-Q28	",PGA-PPT-W08-01
"PGA-WEB-Q28	",PGA-TUT-W08-01
"PGA-WEB-Q29	",PGA-PPT-W10-02
"PGA-WEB-Q30	",PGA-PPT-W10-02
"PGA-WEB-Q31	",PGA-PPT-W10-01
"PGA-WEB-Q32	",PGA-PPT-W10-01
"PGA-WEB-Q33	",PGA-PPT-W03-03
"PGA-WEB-Q34	",PGA-PPT-W03-03
"PGA-WEB-Q35	",PGA-PPT-W10-02
"PGA-WEB-Q36	",PGA-PPT-W10-02
"PGA-WEB-Q37	",PGA-PPT-W10-02
"PGA-WEB-Q38	",PGA-PPT-W10-02
"PGA-WEB-Q39	",PGA-PPT-W03-03
"PGA-WEB-Q40	",PGA-PPT-W03-03
"PGA-WEB-Q41	",PGA-PPT-W06-01
"PGA-WEB-Q41	",PGA-TUT-W06-01
"PGA-WEB-Q42	",PGA-PPT-W06-01
"PGA-WEB-Q42	",PGA-TUT-W06-01
"PGA-WEB-Q43	",PGA-PPT-W11-02
"PGA-WEB-Q44	",PGA-PPT-W11-02
"PGA-WEB-Q45	",PGA-PPT-W02-03
"PGA-WEB-Q45	",PGA-TUT-W03-01
"PGA-WEB-Q46	",PGA-PPT-W02-03
"PGA-WEB-Q46	",PGA-TUT-W03-01
"PGA-WEB-Q47	",PGA-PPT-W05-01
"PGA-WEB-Q47	",PGA-TUT-W05-01
"PGA-WEB-Q48	",PGA-PPT-W05-01
"PGA-WEB-Q48	",PGA-TUT-W05-01
"PGA-WEB-Q49	",PGA-PPT-W05-01
"PGA-WEB-Q49	",PGA-TUT-W05-01
"PGA-WEB-Q50	",PGA-PPT-W05-02
"PGA-WEB-Q50	",PGA-TUT-W05-01
"PGA-WEB-Q51	",PGA-PPT-W11-01
"PGA-WEB-Q52	",PGA-PPT-W11-01
"PGA-WEB-Q53	",PGA-PPT-W05-01
"PGA-WEB-Q53	",PGA-TUT-W05-01
"PGA-WEB-Q54	",PGA-PPT-W05-01
"PGA-WEB-Q54	",PGA-TUT-W05-01
"PGA-WEB-Q55	",PGA-PPT-W11-02
"PGA-WEB-Q56	",PGA-PPT-W11-02
"PGA-WEB-Q57	",PGA-PPT-W09-01
"PGA-WEB-Q58	",PGA-PPT-W09-01
"PGA-WEB-Q59	",PGA-PPT-W03-03
"PGA-WEB-Q60	",PGA-PPT-W03-03
"PGA-WEB-Q61	",PGA-PPT-W03-03
"PGA-WEB-Q62	",PGA-PPT-W03-03
